Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1739370698855,95.55625,choice-chat-02-story1-4,40.85642,ไม่เช็ค,False
1739372463275,267.1268,choice-web1,1633.699,ออกจากเว็บ,False
1739372480904,1903.88,choice-chat-02-story1-7,14.58044,ไม่ส่ง,False
1739445805898,196.7202,choice-chat-02-story1-4,10.90837,เช็คความน่าเชื่อถือ,False
1739445842576,210.9643,choice-web1,33.06259,ออกจากเว็บ,False
1739445944705,344.7166,choice-web1,1.404999,ออกจากเว็บ,False
1739513618683,48.57455,choice-chat-02-story1-4,37.86498,ไม่เช็ค,False
1739513672727,136.6644,choice-web1,3.771851,ออกจากเว็บ,False
1739513678763,143.5072,choice-chat-02-story1-7,2.999893,ไม่ส่ง,False
1741887697749,35.68109,choice-chat-02-story1-4,43.98386,เช็คความน่าเชื่อถือ,False
1741887702310,83.00283,choice-web1,1.005432,ออกจากเว็บ,False
1741887926307,29.88811,choice-chat-02-story1-4,5.134945,เช็คความน่าเชื่อถือ,False
1741888772022,30.0313,choice-chat-02-story1-4,4.135506,ไม่เช็ค,False
1741890436937,43.81602,choice-chat-02-story1-4,3.303272,เช็คความน่าเชื่อถือ,False
1741890441922,50.14229,choice-web1,1.959023,ออกจากเว็บ,False
1741890520887,102.5485,choice-web1,28.47587,ออกจากเว็บ,False
1741890529605,137.0574,choice-chat-02-story1-7,2.731766,ไม่ส่ง,False
1741891373751,31.47784,choice-chat-02-story1-4,2.312731,ไม่เช็ค,False
1742149272888,77.28931,choice-chat-02-story1-4,2.725998,เช็คความน่าเชื่อถือ,False
1742149279925,83.35014,choice-web1,3.649902,ออกจากเว็บ,False
1742401683128,56.3562,choice-chat-02-story1-4,42.24156,เช็คความน่าเชื่อถือ,False
1742401689193,101.6269,choice-web1,3.010834,ออกจากเว็บ,False
1742401861631,267.7144,choice-web1,9.361603,ออกจากเว็บ,False
